               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03564,            0.043814,            0.016319,             0.76361,             0.33473,             0.38384,              0.2468,            0.039587,            0.051586,            0.025108,            0.009307,            0.009307,            0.009307
                  37,            0.035286,             0.04324,            0.015883,             0.76126,             0.35233,             0.40006,             0.25229,            0.040227,            0.051626,             0.02549,           0.0092872,           0.0092872,           0.0092872
                  38,            0.035466,            0.043101,             0.01566,             0.68133,             0.38475,             0.38958,             0.24533,            0.040116,             0.05266,             0.02561,           0.0092674,           0.0092674,           0.0092674
                  39,            0.035574,            0.042081,            0.015352,             0.64246,             0.42856,             0.40377,             0.26343,            0.039311,            0.051832,            0.024135,           0.0092476,           0.0092476,           0.0092476
                  40,             0.03415,            0.041492,            0.015037,             0.60435,             0.43547,             0.39819,             0.26048,            0.039661,            0.052354,            0.025118,           0.0092278,           0.0092278,           0.0092278
                  41,            0.035315,            0.042435,            0.015099,              0.7524,             0.38088,             0.41487,             0.26944,             0.03931,            0.050635,            0.024138,            0.009208,            0.009208,            0.009208
                  42,            0.034938,            0.042569,            0.014884,             0.68451,             0.40502,             0.41858,             0.27188,            0.039849,            0.053108,            0.024398,           0.0091882,           0.0091882,           0.0091882
                  43,            0.034758,            0.042765,            0.014816,              0.6988,             0.41158,             0.41236,              0.2646,            0.038597,            0.050472,             0.02393,           0.0091684,           0.0091684,           0.0091684
                  44,            0.034309,            0.041931,            0.014391,             0.72176,             0.41238,             0.41495,             0.26823,            0.039477,            0.051214,            0.024803,           0.0091486,           0.0091486,           0.0091486
                  45,            0.033761,            0.041026,            0.014363,             0.75095,             0.37861,             0.40232,             0.25514,            0.039568,            0.052175,               0.024,           0.0091288,           0.0091288,           0.0091288
                  46,            0.034525,            0.041007,            0.014448,             0.72565,             0.39907,             0.41011,             0.26033,            0.039591,            0.052626,            0.024049,            0.009109,            0.009109,            0.009109
                  47,            0.033974,             0.04146,            0.013762,             0.72513,             0.39132,             0.41171,             0.26146,            0.039743,            0.054181,            0.024847,           0.0090892,           0.0090892,           0.0090892
                  48,             0.03413,            0.041281,            0.013773,             0.71037,             0.37952,             0.39569,             0.25117,            0.040406,            0.053779,            0.024589,           0.0090694,           0.0090694,           0.0090694
                  49,            0.033995,            0.041421,            0.013278,             0.74915,             0.39455,             0.42361,             0.27285,            0.038877,            0.051567,             0.02471,           0.0090496,           0.0090496,           0.0090496
                  50,             0.03398,            0.040246,             0.01338,             0.74924,             0.38964,             0.41446,             0.27374,             0.03952,            0.053551,            0.025033,           0.0090298,           0.0090298,           0.0090298
                  51,            0.033243,            0.040604,            0.012977,             0.73536,             0.40722,             0.42632,             0.27992,            0.038879,            0.052615,            0.024756,             0.00901,             0.00901,             0.00901
                  52,            0.033928,             0.04089,            0.012879,             0.74637,             0.40501,             0.43841,             0.28369,            0.038768,            0.052525,            0.024108,           0.0089902,           0.0089902,           0.0089902
                  53,            0.034061,             0.04218,            0.012844,             0.77035,             0.41778,             0.45293,             0.30048,            0.039329,            0.051525,            0.023985,           0.0089704,           0.0089704,           0.0089704
                  54,            0.033623,            0.041037,             0.01245,             0.79459,             0.39213,             0.42978,             0.27744,            0.039096,            0.052668,            0.024537,           0.0089506,           0.0089506,           0.0089506
                  55,            0.032935,            0.038656,            0.012472,             0.76523,             0.38802,             0.43362,             0.27825,            0.039245,            0.053524,             0.02464,           0.0089308,           0.0089308,           0.0089308
                  56,            0.032775,            0.039613,            0.012318,             0.74714,              0.3765,             0.41319,             0.26096,            0.039093,            0.052253,             0.02535,            0.008911,            0.008911,            0.008911
                  57,            0.033447,            0.040876,            0.012537,             0.76725,             0.39418,             0.43027,             0.27312,            0.039079,            0.053453,            0.024254,           0.0088912,           0.0088912,           0.0088912
                  58,            0.033709,            0.041511,            0.012289,             0.77466,             0.39019,             0.44768,             0.29362,            0.038697,            0.052124,            0.024294,           0.0088714,           0.0088714,           0.0088714
                  59,            0.032577,            0.039927,            0.012171,             0.78888,             0.37925,             0.44081,             0.28996,            0.039049,            0.052481,            0.023737,           0.0088516,           0.0088516,           0.0088516
                  60,            0.032117,            0.039341,            0.011702,             0.77225,             0.40381,             0.45103,             0.28903,            0.038982,            0.054394,            0.024159,           0.0088318,           0.0088318,           0.0088318
                  61,            0.032646,            0.038895,            0.011806,             0.78314,             0.38895,             0.43077,             0.27658,            0.038738,            0.053087,            0.024652,            0.008812,            0.008812,            0.008812
                  62,            0.032629,            0.039717,            0.011932,             0.79392,             0.35532,             0.41949,             0.26367,            0.039156,            0.053572,             0.02539,           0.0087922,           0.0087922,           0.0087922
                  63,            0.032379,            0.039581,            0.011486,             0.80416,             0.39849,             0.44962,             0.28773,            0.038856,            0.055273,            0.024047,           0.0087724,           0.0087724,           0.0087724
                  64,            0.032768,            0.040948,            0.011758,             0.77724,             0.36873,             0.42047,             0.27288,            0.039136,             0.05549,            0.025237,           0.0087526,           0.0087526,           0.0087526
                  65,            0.032337,            0.039748,            0.011116,             0.75013,             0.40145,              0.4343,             0.27778,            0.038802,            0.054555,            0.025077,           0.0087328,           0.0087328,           0.0087328
                  66,            0.032485,            0.039396,            0.011431,              0.7886,             0.37459,             0.43621,             0.28569,            0.038961,            0.053355,            0.024274,            0.008713,            0.008713,            0.008713
                  67,            0.032178,            0.037882,            0.011103,             0.76333,             0.39677,             0.42772,              0.2794,            0.038592,            0.053863,            0.024473,           0.0086932,           0.0086932,           0.0086932
                  68,             0.03189,            0.038811,            0.010835,             0.80163,             0.37846,             0.44011,             0.28288,            0.038866,            0.053151,            0.023598,           0.0086734,           0.0086734,           0.0086734
                  69,            0.032002,            0.038248,            0.010829,             0.73672,             0.40534,             0.43969,             0.29104,            0.038736,            0.053018,            0.024397,           0.0086536,           0.0086536,           0.0086536
                  70,            0.032093,            0.040148,            0.010771,             0.78791,             0.38777,             0.45268,             0.29363,             0.03881,            0.054195,            0.024457,           0.0086338,           0.0086338,           0.0086338
                  71,            0.031965,            0.039312,            0.010759,             0.80602,             0.38745,             0.44756,             0.28631,            0.038822,            0.054216,            0.024422,            0.008614,            0.008614,            0.008614
                  72,            0.031882,            0.038984,             0.01053,             0.79894,             0.35606,             0.44621,             0.29081,            0.039312,            0.054456,            0.024787,           0.0085942,           0.0085942,           0.0085942
                  73,            0.031593,            0.037946,            0.010564,               0.749,             0.38755,             0.45167,             0.29672,            0.039271,             0.05539,            0.024181,           0.0085744,           0.0085744,           0.0085744
                  74,            0.031243,            0.038241,            0.010281,             0.78905,             0.38175,             0.45747,             0.29988,            0.038933,            0.055595,            0.023783,           0.0085546,           0.0085546,           0.0085546
                  75,            0.031514,            0.038838,            0.010039,             0.80479,             0.38988,             0.46087,             0.30085,            0.039186,            0.053688,            0.024336,           0.0085348,           0.0085348,           0.0085348
                  76,            0.031785,            0.038194,            0.010204,             0.81125,             0.36567,             0.43625,             0.28608,            0.038834,            0.054704,            0.024971,            0.008515,            0.008515,            0.008515
                  77,            0.030846,            0.036879,           0.0098447,             0.76837,             0.39529,             0.45122,             0.30064,            0.038547,            0.052733,            0.024011,           0.0084952,           0.0084952,           0.0084952
                  78,            0.031495,            0.037909,            0.010026,             0.78821,             0.35825,             0.43194,             0.27944,            0.039294,            0.054801,            0.025704,           0.0084754,           0.0084754,           0.0084754
                  79,            0.031209,            0.038063,           0.0099585,             0.74409,             0.40501,              0.4416,             0.28924,            0.038652,            0.053956,            0.025611,           0.0084556,           0.0084556,           0.0084556
                  80,            0.030802,            0.037501,            0.010178,             0.78864,              0.3868,             0.44115,             0.28983,            0.038661,            0.054288,             0.02509,           0.0084358,           0.0084358,           0.0084358
                  81,            0.031278,            0.037243,            0.010058,             0.75805,             0.42813,             0.46827,             0.31007,            0.038706,            0.053395,            0.024282,            0.008416,            0.008416,            0.008416
                  82,            0.030766,            0.036535,           0.0098038,             0.77241,             0.36794,             0.43132,             0.27919,            0.039318,            0.056633,            0.025105,           0.0083962,           0.0083962,           0.0083962
                  83,            0.030901,            0.037505,           0.0098193,             0.77164,             0.39062,             0.44893,             0.28922,            0.038529,            0.053873,             0.02472,           0.0083764,           0.0083764,           0.0083764
                  84,            0.030756,            0.037836,           0.0097217,             0.81205,              0.3776,             0.47544,             0.31529,            0.038288,            0.054763,            0.024572,           0.0083566,           0.0083566,           0.0083566
                  85,            0.030574,            0.037421,            0.009677,             0.74634,             0.40312,               0.453,             0.29517,            0.038453,            0.054838,            0.025237,           0.0083368,           0.0083368,           0.0083368
                  86,            0.031213,            0.038664,           0.0097776,             0.79988,             0.38986,             0.44852,             0.29171,            0.039014,             0.05659,            0.024887,            0.008317,            0.008317,            0.008317
                  87,            0.030564,            0.037239,            0.009131,             0.83007,             0.38925,             0.47725,             0.31287,            0.038378,            0.053878,            0.024121,           0.0082972,           0.0082972,           0.0082972
                  88,            0.030507,            0.037021,           0.0093404,              0.7897,             0.37961,             0.47595,             0.31422,             0.03859,            0.055536,            0.023558,           0.0082774,           0.0082774,           0.0082774
                  89,            0.030238,            0.037034,           0.0092623,             0.77023,              0.4188,             0.48945,             0.33426,            0.038672,            0.054859,            0.023875,           0.0082576,           0.0082576,           0.0082576
                  90,            0.030868,            0.038142,           0.0093567,             0.81451,             0.38014,             0.45228,             0.29955,            0.038473,            0.053845,            0.024554,           0.0082378,           0.0082378,           0.0082378
                  91,            0.030028,            0.035563,           0.0091654,             0.79319,             0.40849,             0.46755,             0.31006,            0.038719,            0.055957,            0.025132,            0.008218,            0.008218,            0.008218
                  92,            0.030655,            0.036841,           0.0094255,             0.78159,              0.3755,             0.45339,             0.30325,            0.039038,            0.057434,            0.024748,           0.0081982,           0.0081982,           0.0081982
                  93,            0.029834,            0.036178,           0.0089513,             0.80141,             0.39332,             0.47205,             0.31545,            0.038372,            0.055599,            0.023263,           0.0081784,           0.0081784,           0.0081784
                  94,            0.029682,            0.035672,           0.0088035,             0.82064,             0.37897,             0.46669,             0.31324,            0.038396,            0.055947,             0.02308,           0.0081586,           0.0081586,           0.0081586
                  95,            0.030117,             0.03599,           0.0089319,             0.79319,             0.38323,             0.47346,             0.31253,            0.038747,            0.055545,            0.025006,           0.0081388,           0.0081388,           0.0081388
                  96,            0.029916,            0.037123,           0.0087913,             0.81578,             0.39202,             0.48455,             0.32273,            0.038729,            0.056011,            0.024161,            0.008119,            0.008119,            0.008119
                  97,             0.02972,            0.036071,           0.0086872,             0.75907,             0.41894,             0.47879,             0.31561,            0.038281,            0.055198,            0.023878,           0.0080992,           0.0080992,           0.0080992
                  98,             0.02988,            0.036628,           0.0085704,              0.7765,             0.42262,             0.47782,             0.32273,            0.038456,            0.055847,            0.024559,           0.0080794,           0.0080794,           0.0080794
                  99,            0.029461,            0.036028,           0.0086212,             0.78893,             0.41352,             0.47956,             0.32203,            0.038167,            0.057072,            0.024034,           0.0080596,           0.0080596,           0.0080596
                 100,            0.029619,            0.035543,           0.0086984,             0.77614,             0.40413,             0.49639,             0.33379,            0.038201,            0.054925,            0.023991,           0.0080398,           0.0080398,           0.0080398
                 101,            0.029911,            0.036751,           0.0085787,             0.75268,             0.42216,             0.47951,             0.31808,            0.038495,            0.056233,              0.0241,             0.00802,             0.00802,             0.00802
                 102,            0.029854,               0.037,           0.0082944,             0.74524,             0.42208,             0.48719,              0.3214,            0.038296,            0.056286,            0.024238,           0.0080002,           0.0080002,           0.0080002
                 103,            0.029537,            0.035749,           0.0084109,             0.75076,             0.42835,             0.50173,             0.33694,            0.038363,            0.055553,            0.022977,           0.0079804,           0.0079804,           0.0079804
                 104,            0.029304,            0.035393,           0.0083284,             0.77723,             0.40109,             0.49088,             0.32893,            0.038147,            0.057225,             0.02423,           0.0079606,           0.0079606,           0.0079606
                 105,            0.029693,            0.036061,           0.0083491,             0.73152,             0.40389,             0.47445,              0.3161,            0.038572,            0.057323,            0.023415,           0.0079408,           0.0079408,           0.0079408
                 106,            0.029106,            0.035409,           0.0081798,             0.75145,             0.41881,             0.48697,             0.32265,            0.038234,            0.057106,             0.02321,            0.007921,            0.007921,            0.007921
                 107,            0.029132,            0.035641,           0.0084326,             0.72913,             0.41991,             0.48874,             0.32524,            0.038061,              0.0549,            0.023676,           0.0079012,           0.0079012,           0.0079012
                 108,            0.029571,            0.035389,           0.0084556,             0.78292,             0.38779,             0.47386,             0.31814,            0.038312,            0.056218,            0.024827,           0.0078814,           0.0078814,           0.0078814
                 109,            0.029007,            0.035624,           0.0081483,             0.65762,             0.46301,             0.47586,             0.32055,            0.038352,            0.057406,            0.024497,           0.0078616,           0.0078616,           0.0078616
                 110,             0.02929,             0.03562,           0.0084799,             0.74115,             0.42665,             0.48575,             0.32406,            0.038154,            0.056592,            0.024225,           0.0078418,           0.0078418,           0.0078418
                 111,            0.028683,            0.034048,           0.0081309,             0.82196,             0.40095,             0.47774,             0.31656,            0.038264,            0.054382,            0.024447,            0.007822,            0.007822,            0.007822
                 112,            0.028892,            0.034428,           0.0080139,             0.59806,             0.46692,             0.48478,             0.32762,            0.038477,            0.057479,            0.024678,           0.0078022,           0.0078022,           0.0078022
                 113,            0.029204,            0.036254,           0.0081757,             0.72481,             0.42963,             0.49915,             0.33917,            0.038266,            0.057028,            0.024572,           0.0077824,           0.0077824,           0.0077824
                 114,            0.028922,            0.034434,           0.0080478,              0.7701,             0.40802,             0.49017,             0.33175,            0.037949,            0.054992,            0.024287,           0.0077626,           0.0077626,           0.0077626
